,year_ceremony,category,name,film,oscar
9077,2010,International Feature Film,Israel,Ajami,Nominee
9078,2010,International Feature Film,Peru,The Milk Of Sorrow,Nominee
9079,2010,International Feature Film,France,A Prophet,Nominee
9080,2010,International Feature Film,Argentina,The Secret In Their Eyes,Winner
9081,2010,International Feature Film,Germany,The White Ribbon,Nominee
9095,2010,Best Picture,"James Cameron and Jon Landau, Producers",Avatar,Nominee
9096,2010,Best Picture,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",The Blind Side,Nominee
9097,2010,Best Picture,"Peter Jackson and Carolynne Cunningham, Producers",District 9,Nominee
9098,2010,Best Picture,"Finola Dwyer and Amanda Posey, Producers",An Education,Nominee
9099,2010,Best Picture,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker,Winner
9100,2010,Best Picture,"Lawrence Bender, Producer",Inglourious Basterds,Nominee
9101,2010,Best Picture,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",Precious: Based On The Novel 'Push' By Sapphire,Nominee
9102,2010,Best Picture,"Joel Coen and Ethan Coen, Producers",A Serious Man,Nominee
9103,2010,Best Picture,"Jonas Rivera, Producer",Up,Nominee
9104,2010,Best Picture,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",Up In The Air,Nominee
9128,2010,Writing (Adapted Screenplay),Written by Neill Blomkamp and Terri Tatchell,District 9,Nominee
9129,2010,Writing (Adapted Screenplay),Screenplay by Nick Hornby,An Education,Nominee
9130,2010,Writing (Adapted Screenplay),"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche",In The Loop,Nominee
9131,2010,Writing (Adapted Screenplay),Screenplay by Geoffrey Fletcher,Precious: Based On The Novel 'Push' By Sapphire,Winner
9132,2010,Writing (Adapted Screenplay),Screenplay by Jason Reitman and Sheldon Turner,Up In The Air,Nominee
9133,2010,Writing (Original Screenplay),Written by Mark Boal,The Hurt Locker,Winner
9134,2010,Writing (Original Screenplay),Written by Quentin Tarantino,Inglourious Basterds,Nominee
9135,2010,Writing (Original Screenplay),Written by Alessandro Camon & Oren Moverman,The Messenger,Nominee
9136,2010,Writing (Original Screenplay),Written by Joel Coen & Ethan Coen,A Serious Man,Nominee
9137,2010,Writing (Original Screenplay),"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy",Up,Nominee
9142,2011,Actor In A Leading Role,Javier Bardem,Biutiful,Nominee
9143,2011,Actor In A Leading Role,Jeff Bridges,True Grit,Nominee
9144,2011,Actor In A Leading Role,Jesse Eisenberg,The Social Network,Nominee
9145,2011,Actor In A Leading Role,Colin Firth,The King'S Speech,Winner
